sku,name,brand,category,image_url,size,price,stock
MY-AF1-001,Nike Air Force 1 Low White,Nike,sneakers,https://example.com/images/AF1-white.jpg,38,120.00,2
MY-AF1-001,Nike Air Force 1 Low White,Nike,sneakers,https://example.com/images/AF1-white.jpg,39,120.00,4
MY-AF1-001,Nike Air Force 1 Low White,Nike,sneakers,https://example.com/images/AF1-white.jpg,40,120.00,3
MY-AF1-001,Nike Air Force 1 Low White,Nike,sneakers,https://example.com/images/AF1-white.jpg,41,125.00,5
MY-AF1-001,Nike Air Force 1 Low White,Nike,sneakers,https://example.com/images/AF1-white.jpg,42,125.00,1
MY-AF1-001,Nike Air Force 1 Low White,Nike,sneakers,https://example.com/images/AF1-white.jpg,43,130.00,0
MY-DUNK-002,Nike Dunk Low Panda,Nike,sneakers,https://example.com/images/dunk-panda.jpg,36,140.00,1
MY-DUNK-002,Nike Dunk Low Panda,Nike,sneakers,https://example.com/images/dunk-panda.jpg,37.5,140.00,3
MY-DUNK-002,Nike Dunk Low Panda,Nike,sneakers,https://example.com/images/dunk-panda.jpg,38.5,145.00,2
MY-SAMBA-003,Adidas Samba OG White Black,Adidas,sneakers,https://example.com/images/samba-og.jpg,40,110.00,6
MY-SAMBA-003,Adidas Samba OG White Black,Adidas,sneakers,https://example.com/images/samba-og.jpg,41,110.00,4
MY-SAMBA-003,Adidas Samba OG White Black,Adidas,sneakers,https://example.com/images/samba-og.jpg,42,110.00,2
MY-SAMBA-003,Adidas Samba OG White Black,Adidas,sneakers,https://example.com/images/samba-og.jpg,43,115.00,3
MY-HOODIE-004,Nike Tech Fleece Hoodie Black,Nike,clothing,https://example.com/images/tech-fleece.jpg,S,95.00,3
MY-HOODIE-004,Nike Tech Fleece Hoodie Black,Nike,clothing,https://example.com/images/tech-fleece.jpg,M,95.00,5
MY-HOODIE-004,Nike Tech Fleece Hoodie Black,Nike,clothing,https://example.com/images/tech-fleece.jpg,L,95.00,4
MY-HOODIE-004,Nike Tech Fleece Hoodie Black,Nike,clothing,https://example.com/images/tech-fleece.jpg,XL,95.00,2
